[main] Total elements: 268435456, bytes per buffer: 1073741824, total required: 0 MB
==93012== NVPROF is profiling process 93012, command: ./bin/profile_harness --num_batches=256 --vocab_size=1048576 --kernel=radix_v1 --warmup_runs=0 --runs=1
[run] Launching kernel 'radix_v1' (run 0)
==93012== Profiling application: ./bin/profile_harness --num_batches=256 --vocab_size=1048576 --kernel=radix_v1 --warmup_runs=0 --runs=1
==93012== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
719.75ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.75ms  1.2480us                    -               -         -         -         -  4.0000KB  3.0566GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.76ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.77ms  1.1830us                    -               -         -         -         -  4.0000KB  3.2246GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.78ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.78ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.79ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.80ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.81ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.81ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.82ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.83ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.84ms     543ns                    -               -         -         -         -  4.0000KB  7.0252GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.84ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.85ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.86ms  1.2480us                    -               -         -         -         -  4.0000KB  3.0566GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.87ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.87ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.88ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.88ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.90ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.90ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.91ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.91ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.93ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.93ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.94ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.94ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.96ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.96ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.97ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.97ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
